,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
113,frozenset({'savoury'}),"frozenset({'cookies', 'cakes'})",0.1451261791502056,0.026364589212287348,0.005240667580424091,0.03611111111111111,1.3696822969758748,0.0014144754831800993,1.0101116653705375,0.3157234164496261,"(1800,)","(1631, 6073)"
67,frozenset({'savoury'}),frozenset({'pastry'}),0.1451261791502056,0.06659679109892767,0.012980730468435056,0.08944444444444444,1.3430743879472693,0.0033157926325832615,1.0250919926918427,0.29880386601003006,"(1800,)","(826,)"
66,frozenset({'pastry'}),frozenset({'savoury'}),0.06659679109892767,0.1451261791502056,0.012980730468435056,0.19491525423728814,1.3430743879472693,0.0033157926325832615,1.0618432722134288,0.27366480014721856,"(826,)","(1800,)"
14,frozenset({'pastry'}),frozenset({'bread'}),0.06659679109892767,0.12859791985809885,0.011126340401515762,0.16707021791767554,1.2991673434689215,0.0025621315969693095,1.0461891252866429,0.24670605010183855,"(826,)","(1595,)"
15,frozenset({'bread'}),frozenset({'pastry'}),0.12859791985809885,0.06659679109892767,0.011126340401515762,0.08652037617554859,1.2991673434689215,0.0025621315969693095,1.0218106507873785,0.26425943209002456,"(1595,)","(826,)"
48,frozenset({'savoury'}),frozenset({'catering'}),0.1451261791502056,0.07619124405385794,0.014351366604853664,0.09888888888888889,1.2979035861258084,0.0032940224706164405,1.0251885084482464,0.26849195743837606,"(1800,)","(945,)"
49,frozenset({'catering'}),frozenset({'savoury'}),0.07619124405385794,0.1451261791502056,0.014351366604853664,0.18835978835978837,1.2979035861258084,0.0032940224706164405,1.0532669631069826,0.2484569929061879,"(945,)","(1800,)"
72,frozenset({'pie'}),frozenset({'squares'}),0.2130936063855519,0.025477707006369428,0.0059662984761751185,0.027998486568293603,1.0989405978055238,0.0005371620077534141,1.0025933905730502,0.1144134913602125,"(2643,)","(316,)"
73,frozenset({'squares'}),frozenset({'pie'}),0.025477707006369428,0.2130936063855519,0.0059662984761751185,0.2341772151898734,1.0989405978055238,0.0005371620077534141,1.0275306627362215,0.0923865041512099,"(316,)","(2643,)"
71,frozenset({'scones'}),frozenset({'pie'}),0.025719583971619768,0.2130936063855519,0.0059662984761751185,0.23197492163009403,1.088605733249359,0.0004856195729266268,1.0245842431143222,0.0835424550667848,"(319,)","(2643,)"
70,frozenset({'pie'}),frozenset({'scones'}),0.2130936063855519,0.025719583971619768,0.0059662984761751185,0.027998486568293603,1.088605733249359,0.0004856195729266268,1.0023445463460525,0.10343514621178561,"(2643,)","(319,)"
116,"frozenset({'cookies', 'savoury'})",frozenset({'pie'}),0.031524631137628,0.2130936063855519,0.007175683302426832,0.22762148337595906,1.0681760341702686,0.0004579859633354194,1.018809271202812,0.06590226253147594,"(1631, 1800)","(2643,)"
