product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Basque Cheesecake,Bread & Butter Bakery and Fine Pastries,Cakes,27,1024.000,0.000,-64.000,960.000,0.000,960.000
Assorted Baking,,,1,950.000,0.000,0.000,950.000,0.000,950.000
Salmon & Shrimp Pie,Bread & Butter Bakery and Fine Pastries,Savoury,60,945.000,0.000,0.000,945.000,0.000,945.000
Copy of Vegan Chocolate Cake,Bread & Butter Bakery and Fine Pastries,Cakes,9,945.000,0.000,0.000,945.000,0.000,945.000
Will You Be My Valentine Treat Box,Bread & Butter Bakery and Fine Pastries,valentines,50,966.450,-11.370,-18.950,936.130,0.000,936.130
Rhubarb Pie,Bread & Butter Bakery and Fine Pastries,pie,39,883.700,0.000,0.000,883.700,3.710,887.410
Red Pepper Goat Cheese Dip,Bread & Butter Bakery and Fine Pastries,Savoury,79,780.500,-1.600,0.000,778.900,101.410,880.310
Leek & Potato Soup,Bread & Butter Bakery and Fine Pastries,Savoury,84,886.500,-15.000,0.000,871.500,0.000,871.500
Turkey Gravy - Thanksgiving Menu,Bread & Butter Bakery and Fine Pastries,thanksgiving,91,816.750,-1.190,-12.000,803.560,63.200,866.760
6 Blueberry Cranberry Bran Muffins,Bread & Butter Bakery and Fine Pastries,muffin,46,1093.500,-4.350,-259.250,829.900,0.000,829.900
Charcuterie Gift Box,Bread & Butter Bakery and Fine Pastries,Holiday,12,720.000,0.000,0.000,720.000,93.600,813.600
Mincemeat Pie,Bread & Butter Bakery and Fine Pastries,pie,31,823.400,0.000,-22.950,800.450,7.260,807.710
6 Nanaimo Bars,Bread & Butter Bakery and Fine Pastries,,35,898.500,-53.740,-49.000,795.760,0.000,795.760
6 Date Nut Bran Muffins,Bread & Butter Bakery and Fine Pastries,muffin,42,830.500,-21.750,-15.500,793.250,0.000,793.250
6 Rhubarb Scones,Bread & Butter Bakery and Fine Pastries,scones,34,791.000,0.000,0.000,791.000,0.000,791.000
Butternut Squash Bisque,Bread & Butter Bakery and Fine Pastries,Savoury,84,808.000,-3.000,-19.750,785.250,0.000,785.250
9 Chocolate Covered Strawberries,Bread & Butter Bakery and Fine Pastries,Dessert,40,784.000,0.000,0.000,784.000,0.000,784.000
"Vegan Apple Pie - 8""",Bread & Butter Bakery and Fine Pastries,pie,37,800.100,0.000,-18.950,781.150,0.000,781.150
Granola,Bread & Butter Bakery and Fine Pastries,breakfast,65,849.500,0.000,-69.000,780.500,0.000,780.500
Build Your Own Breakfast Sandwich,Bread & Butter Bakery and Fine Pastries,Fathers,16,777.000,-7.400,0.000,769.600,0.000,769.600
6 Date Squares,Bread & Butter Bakery and Fine Pastries,Squares,38,741.500,0.000,0.000,741.500,0.000,741.500
6 Hermit Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,97,775.200,-34.750,0.000,740.450,0.000,740.450
Challah,Bread & Butter Bakery and Fine Pastries,Bread,86,746.000,0.000,-17.500,728.500,0.000,728.500
4 Kaisers,Bread & Butter Bakery and Fine Pastries,Bread,117,702.000,-7.200,0.000,694.800,0.000,694.800
Chicken Noodle Soup - Frozen,Bread & Butter Bakery and Fine Pastries,Savoury,65,702.600,0.000,-32.550,670.050,0.000,670.050
Italian Bread,Bread & Butter Bakery and Fine Pastries,Bread,169,768.300,-77.220,-21.900,669.180,0.000,669.180
Copy of Confetti Cake,Bread & Butter Bakery and Fine Pastries,Cakes,8,682.000,-19.500,0.000,662.500,0.000,662.500
"Vegan Raspberry Pie - 8""",Bread & Butter Bakery and Fine Pastries,pie,30,730.500,-74.850,0.000,655.650,0.000,655.650
Raspberry Coconut Lime Pie,Bread & Butter Bakery and Fine Pastries,,23,653.800,0.000,-32.950,620.850,0.000,620.850
2lb Mac & Cheese,Bread & Butter Bakery and Fine Pastries,Fathers,24,625.000,-5.500,0.000,619.500,0.000,619.500
Pizza Dough,Bread & Butter Bakery and Fine Pastries,Savoury,146,599.300,0.000,-8.500,590.800,0.000,590.800
6 Macarons of the Month,Bread & Butter Bakery and Fine Pastries,,32,607.850,0.000,-17.700,590.150,0.000,590.150
Bailey's Cheesecake,Bread & Butter Bakery and Fine Pastries,,13,582.000,0.000,0.000,582.000,0.000,582.000
6 Oat Chocolate Chip Scones,Bread & Butter Bakery and Fine Pastries,scones,24,624.000,0.000,-45.000,579.000,0.000,579.000
Mini Carrot Loaf with Cream Cheese Icing,Bread & Butter,Easter,41,522.900,0.000,-10.950,511.950,66.450,578.400
6 Flourless Bagels,Bread & Butter Bakery and Fine Pastries,,49,600.000,-9.600,-12.000,578.400,0.000,578.400
2 Choc Chunk 2 PB 2 OR Cookies in a bag,,,50,575.000,0.000,0.000,575.000,0.000,575.000
Vegetarian Pot Pie,Bread & Butter Bakery and Fine Pastries,Savoury,62,579.800,0.000,-8.950,570.850,0.000,570.850
"Vegan Blueberry Pie - 8""",Bread & Butter Bakery and Fine Pastries,pie,27,601.550,-0.660,-37.900,562.990,0.000,562.990
6 Linzer Cookies,Bread & Butter Bakery and Fine Pastries,valentines,45,552.000,0.000,-12.000,540.000,0.000,540.000
6-cookie pack (2 Choc. Chunk + 2 Oat. Raisin + 2 PB),,,45,517.500,0.000,0.000,517.500,0.000,517.500
Brie and Cranberry Puff Pastry Bites,Bread & Butter Bakery and Fine Pastries,Savoury,29,542.500,0.000,-35.000,507.500,0.000,507.500
Turkey Meatballs with Cranberry Glaze,Bread & Butter Bakery and Fine Pastries,Savoury,30,525.000,-17.500,0.000,507.500,0.000,507.500
Multigrain,Bread & Butter Bakery and Fine Pastries,Bread,71,529.250,-13.320,-14.500,501.430,0.000,501.430
Non-Refundable Space Reservation Deposit,,,1,500.000,0.000,0.000,500.000,0.000,500.000
